"ID","CHR","MAPINFO","custom_Name","chr","custom_Group","repName","repClass","repFamily"
"cg06538872","1",947343,"ISG15","chr1","TSS1500","L1MB5","LINE","L1"
"cg07589034","1",947003,"","chr1","","L1MB5","LINE","L1"
"cg22182593","1",947864,"ISG15","chr1","TSS1500","L1MB5","LINE","L1"
"cg06444226","1",1028785,"C1orf159","chr1","5'UTR","L1MD3","LINE","L1"
"cg23812948","1",1030656,"C1orf159","chr1","5'UTR","L1MD3","LINE","L1"
"cg17539962","1",1031460,"C1orf159","chr1","5'UTR","L1MD3","LINE","L1"
"cg26040075","1",1034421,"C1orf159","chr1","5'UTR","L1MD3","LINE","L1"
"cg24165743","1",1041884,"C1orf159","chr1","5'UTR","L1M3","LINE","L1"
"cg27302190","1",1050210,"C1orf159","chr1","5'UTR","L1PB1","LINE","L1"
"cg21775619","1",1066087,"","chr1","","HAL1","LINE","L1"
"cg07203151","1",1066544,"","chr1","","HAL1","LINE","L1"
"cg03760138","1",1079260,"RP11-465B22.5","chr1","5'UTR","L1MB5","LINE","L1"
"cg10399850","1",1089668,"","chr1","","L1MEg","LINE","L1"
"cg08803531","1",1090812,"","chr1","","L1MEg","LINE","L1"
"cg04808954","1",1124420,"TTLL10","chr1","Body","L1MB8","LINE","L1"
"cg10333212","1",1126163,"TTLL10","chr1","Body","L1MB8","LINE","L1"
"cg18367529","1",1161866,"SDF4","chr1","Body","L1MC3","LINE","L1"
"cg22665280","1",1252963,"CPSF3L","chr1","Body","L1MEg","LINE","L1"
"cg20140735","1",1494726,"SSU72","chr1","Body","L1MB8","LINE","L1"
"cg09082814","1",1558372,"MIB2","chr1","Body","L1M5","LINE","L1"
"cg03484489","1",1578865,"CDK11B","chr1","5'UTR","L1M4c","LINE","L1"
"cg16673286","1",1581603,"CDK11B","chr1","Body","L1MEf","LINE","L1"
"cg00400654","1",1604298,"LOC728661","chr1","Body","L1MEg","LINE","L1"
"cg12135548","1",1617866,"CDK11B","chr1","5'UTR","L1MC4","LINE","L1"
"cg11851198","1",1642075,"CDK11A","chr1","Body","L1M4c","LINE","L1"
"cg23611477","1",1644835,"CDK11A","chr1","Body","L1MEf","LINE","L1"
"cg17964539","1",1645121,"CDK11B","chr1","5'UTR","L1MEf","LINE","L1"
"cg02332863","1",1666933,"SLC35E2","chr1","Body","L1MEg","LINE","L1"
"cg20620652","1",1666833,"SLC35E2","chr1","Body","L1MEg","LINE","L1"
"cg27391816","1",1672644,"SLC35E2","chr1","5'UTR","L1MC4","LINE","L1"
"cg03335128","1",1731415,"GNB1","chr1","Body","L1MEb","LINE","L1"
"cg25480982","1",1748716,"GNB1","chr1","Body","L1MB5","LINE","L1"
"cg01205154","1",1767173,"GNB1","chr1","5'UTR","L1MD","LINE","L1"
"cg22850508","1",1843940,"","chr1","","L1MB2","LINE","L1"
"cg15102821","1",1844801,"CALML6","chr1","TSS1500","L1MB2","LINE","L1"
"cg14661773","1",1885116,"CFAP74","chr1","Body","L1MEe","LINE","L1"
"cg04851426","1",1892042,"CFAP74","chr1","Body","L1MEd","LINE","L1"
"cg11956108","1",1895061,"KIAA1751","chr1","Body","L1MC4","LINE","L1"
"cg00574213","1",1906947,"KIAA1751","chr1","Body","L1MEd","LINE","L1"
"cg12701697","1",1914707,"KIAA1751","chr1","Body","L1MC4","LINE","L1"
"cg18270426","1",1914597,"KIAA1751","chr1","Body","L1MC4","LINE","L1"
"cg00213113","1",1933170,"CFAP74","chr1","5'UTR","L1MC4","LINE","L1"
"cg17561553","1",1934433,"CFAP74","chr1","5'UTR","L1ME3B","LINE","L1"
"cg14723606","1",1942514,"","chr1","","L1ME1","LINE","L1"
"cg04847273","1",1957620,"GABRD","chr1","Body","L1MB5","LINE","L1"
"cg05654059","1",1957805,"GABRD","chr1","Body","L1MB5","LINE","L1"
"cg10837110","1",1957711,"GABRD","chr1","Body","L1MB5","LINE","L1"
"cg17355877","1",1998716,"PRKCZ","chr1","Body","L1M4","LINE","L1"
"cg01917640","1",2009349,"PRKCZ","chr1","5'UTR","HAL1","LINE","L1"
"cg08000672","1",2012434,"PRKCZ","chr1","Body","L1MC3","LINE","L1"
"cg26252027","1",2012218,"PRKCZ","chr1","Body","L1MC3","LINE","L1"
"cg12601506","1",2017918,"PRKCZ","chr1","Body","L1MC4","LINE","L1"
"cg08659047","1",2022951,"PRKCZ","chr1","Body","L1M3","LINE","L1"
"cg16735509","1",2023157,"PRKCZ","chr1","Body","L1M3","LINE","L1"
"cg20328379","1",2048946,"PRKCZ","chr1","5'UTR","L1MEg","LINE","L1"
"cg01974180","1",2084246,"PRKCZ","chr1","Body","L1MB5","LINE","L1"
"cg04347414","1",2084519,"PRKCZ","chr1","Body","L1MB5","LINE","L1"
"cg00300046","1",2084595,"PRKCZ","chr1","Body","L1MB5","LINE","L1"
"cg05340048","1",2084319,"PRKCZ","chr1","Body","L1MB5","LINE","L1"
"cg24445388","1",2084391,"PRKCZ","chr1","Body","L1MB5","LINE","L1"
"cg18025961","1",2102170,"PRKCZ","chr1","Body","L1MB3","LINE","L1"
"cg02854763","1",2103155,"PRKCZ","chr1","Body","L1MB3","LINE","L1"
"cg03395993","1",2109923,"PRKCZ","chr1","Body","L1MB7","LINE","L1"
"cg00456448","1",2109543,"PRKCZ","chr1","Body","L1MB7","LINE","L1"
"cg01449266","1",2109999,"PRKCZ","chr1","Body","L1M4","LINE","L1"
"cg19463010","1",2152330,"RP11-181G12.4","chr1","TSS200","L1MC4","LINE","L1"
"cg08455157","1",2152307,"RP11-181G12.4","chr1","TSS200","L1MC4","LINE","L1"
"cg12310543","1",2152340,"RP11-181G12.4","chr1","TSS200","L1MC4","LINE","L1"
"cg02942598","1",2152680,"RP11-181G12.4","chr1","TSS1500","L1MC4","LINE","L1"
"cg07149804","1",2153454,"RP11-181G12.4","chr1","TSS1500","L1MC4","LINE","L1"
"cg22166144","1",2188349,"SKI","chr1","Body","HAL1","LINE","L1"
"cg01881525","1",2191558,"SKI","chr1","Body","L1MC4","LINE","L1"
"cg26880297","1",2191299,"SKI","chr1","Body","L1MC4","LINE","L1"
"cg12222277","1",2191658,"SKI","chr1","Body","L1MC4","LINE","L1"
"cg18934822","1",2191402,"SKI","chr1","Body","L1MC4","LINE","L1"
"cg15053410","1",2192600,"SKI","chr1","Body","L1MC4","LINE","L1"
"cg11191979","1",2194050,"SKI","chr1","Body","L1MEc","LINE","L1"
"cg24288446","1",2227082,"SKI","chr1","Body","L1MB7","LINE","L1"
"cg01311841","1",2227055,"SKI","chr1","Body","L1MB7","LINE","L1"
"cg00330518","1",2228160,"SKI","chr1","Body","L1MB7","LINE","L1"
"cg19374731","1",2279730,"MORN1","chr1","Body","L1MC4","LINE","L1"
"cg02606010","1",2292609,"MORN1","chr1","Body","L1MEc","LINE","L1"
"cg15836199","1",2302005,"MORN1","chr1","Body","L1MB7","LINE","L1"
"cg05468621","1",2356838,"RP4-740C4.4","chr1","TSS1500","L1MA7","LINE","L1"
"cg18013789","1",2465404,"","chr1","","L1MB3","LINE","L1"
"cg15678662","1",2465544,"","chr1","","L1MB3","LINE","L1"
"cg06274257","1",2482444,"LOC115110","chr1","Body","L1ME2","LINE","L1"
"cg01688755","1",2505158,"LOC100996583","chr1","Body","L1ME1","LINE","L1"
"cg15726055","1",2506027,"RP3-395M20.7","chr1","5'UTR","L1ME1","LINE","L1"
"cg11876074","1",2511165,"LOC100996583","chr1","Body","L1MB3","LINE","L1"
"cg26440811","1",2511644,"LOC100996583","chr1","Body","L1MB3","LINE","L1"
"cg04678404","1",2547849,"MMEL1","chr1","Body","L1MEf","LINE","L1"
"cg04200292","1",2555305,"MMEL1","chr1","Body","L1MCc","LINE","L1"
"cg04581538","1",2578470,"TTC34","chr1","Body","L1MEf","LINE","L1"
"cg21783012","1",2710376,"","chr1","","L1M5","LINE","L1"
"cg01582458","1",2739765,"","chr1","","L1ME4a","LINE","L1"
"cg13428681","1",2756210,"","chr1","","L1ME3A","LINE","L1"
"cg09173636","1",2775387,"","chr1","","L1MC3","LINE","L1"
"cg04551318","1",2823297,"","chr1","","L1MC1","LINE","L1"
"cg05000860","1",2823402,"","chr1","","L1MC1","LINE","L1"
"cg06988547","1",2839763,"","chr1","","L1MB5","LINE","L1"
"cg00023726","1",2839935,"","chr1","","L1MB5","LINE","L1"
"cg00500221","1",2915875,"","chr1","","L1ME3A","LINE","L1"
"cg23087661","1",2940825,"","chr1","","L1MDa","LINE","L1"
"cg10122878","1",2941375,"","chr1","","L1MDa","LINE","L1"
"cg18171009","1",3089287,"PRDM16","chr1","Body","L1MB3","LINE","L1"
"cg04277097","1",3089192,"PRDM16","chr1","Body","L1MB3","LINE","L1"
"cg00103908","1",3184106,"PRDM16","chr1","Body","L1MB5","LINE","L1"
"cg17660549","1",3183831,"PRDM16","chr1","Body","L1MB5","LINE","L1"
"cg12648819","1",3223607,"PRDM16","chr1","Body","L1MB7","LINE","L1"
"cg16866316","1",3360726,"","chr1","","L1MC1","LINE","L1"
"cg10709432","1",3361130,"","chr1","","L1ME1","LINE","L1"
"cg06650698","1",3558138,"WDR8","chr1","Body","L1ME1","LINE","L1"
"cg07349054","1",3558237,"WDR8","chr1","Body","L1ME1","LINE","L1"
"cg09965526","1",3596797,"TP73","chr1","5'UTR","L1MB5","LINE","L1"
"cg12394527","1",3735711,"CEP104","chr1","Body","L1MEf","LINE","L1"
"cg25729560","1",3738334,"KIAA0562","chr1","Body","L1MC5","LINE","L1"
"cg06543160","1",3738353,"KIAA0562","chr1","Body","L1MC5","LINE","L1"
"cg03764095","1",3738225,"CEP104","chr1","Body","L1MC5","LINE","L1"
"cg20313677","1",3738610,"KIAA0562","chr1","Body","L1MC5","LINE","L1"
"cg20711020","1",3741187,"CEP104","chr1","Body","L1ME3A","LINE","L1"
"cg21981572","1",3781821,"DFFB","chr1","Body","L1MD2","LINE","L1"
"cg00461770","1",3792137,"DFFB","chr1","Body","L1MEe","LINE","L1"
"cg16307399","1",3795389,"DFFB","chr1","Body","L1MEe","LINE","L1"
"cg09757127","1",3810632,"C1orf174","chr1","Body","L1MC4a","LINE","L1"
"cg16362587","1",3812878,"C1orf174","chr1","Body","L1M4b","LINE","L1"
"cg25113595","1",4009179,"LINC01346","chr1","Body","L1MC1","LINE","L1"
"cg06322962","1",4010153,"LINC01346","chr1","Body","L1MC1","LINE","L1"
"cg10058913","1",4077182,"","chr1","","L1ME5","LINE","L1"
"cg22795487","1",4111653,"","chr1","","L1ME4a","LINE","L1"
"cg17907200","1",4471021,"LOC284661","chr1","TSS1500","L1MEe","LINE","L1"
"cg18957455","1",4802225,"AJAP1","chr1","Body","L1MC4","LINE","L1"
"cg02191183","1",5701303,"RP11-154H17.1","chr1","3'UTR","L1MC","LINE","L1"
"cg04498390","1",5736051,"","chr1","","L1MEc","LINE","L1"
"cg22374924","1",5791563,"","chr1","","L1PA17","LINE","L1"
"cg15598789","1",5955929,"NPHP4","chr1","Body","L1MC4","LINE","L1"
"cg06173758","1",5957461,"NPHP4","chr1","Body","L1MC4","LINE","L1"
"cg06616755","1",5957659,"NPHP4","chr1","Body","L1MC4","LINE","L1"
"cg04557181","1",5959158,"NPHP4","chr1","Body","L1ME3A","LINE","L1"
"cg16513334","1",5989400,"NPHP4","chr1","Body","L1MD2","LINE","L1"
"cg27015821","1",6002148,"NPHP4","chr1","Body","L1MC4","LINE","L1"
"cg01821920","1",6015903,"NPHP4","chr1","Body","L1MA6","LINE","L1"
"cg05444613","1",6015337,"NPHP4","chr1","Body","L1MA6","LINE","L1"
"cg22692659","1",6063807,"KCNAB2","chr1","5'UTR","L1M5","LINE","L1"
"cg13928473","1",6063654,"KCNAB2","chr1","5'UTR","L1M5","LINE","L1"
"cg24926052","1",6063829,"KCNAB2","chr1","5'UTR","L1M5","LINE","L1"
"cg26564960","1",6082758,"KCNAB2","chr1","5'UTR","L1MB3","LINE","L1"
"cg02016207","1",6092930,"KCNAB2","chr1","TSS1500","L1MC4","LINE","L1"
"cg20976671","1",6093113,"KCNAB2","chr1","TSS1500","L1MC4","LINE","L1"
"cg05263215","1",6093602,"KCNAB2","chr1","TSS1500","L1MC4","LINE","L1"
"cg09702732","1",6110579,"KCNAB2","chr1","Body","L1MC4a","LINE","L1"
"cg21236631","1",6183300,"CHD5","chr1","Body","L1MB7","LINE","L1"
"cg07412570","1",6192418,"CHD5","chr1","Body","L1MEg","LINE","L1"
"cg24413527","1",6355675,"ACOT7","chr1","Body","L1MB8","LINE","L1"
"cg09513469","1",6421502,"ACOT7","chr1","Body","L1MB7","LINE","L1"
"cg12082302","1",6421246,"ACOT7","chr1","Body","L1MB7","LINE","L1"
"cg02065192","1",6421414,"ACOT7","chr1","Body","L1MB7","LINE","L1"
"cg18148314","1",6425319,"ACOT7","chr1","Body","L1ME1","LINE","L1"
"cg22451657","1",6558088,"PLEKHG5","chr1","Body","L1ME3A","LINE","L1"
"cg07181374","1",6558113,"PLEKHG5","chr1","Body","L1ME3A","LINE","L1"
"cg24332389","1",6558085,"PLEKHG5","chr1","Body","L1ME3A","LINE","L1"
"cg16968650","1",6599434,"NOL9","chr1","Body","L1MB4","LINE","L1"
"cg01566460","1",6612221,"NOL9","chr1","Body","L1PA11","LINE","L1"
"cg01881062","1",6660403,"KLHL21","chr1","Body","L1ME3A","LINE","L1"
"cg08163621","1",6685996,"THAP3","chr1","Body","L1ME3A","LINE","L1"
"cg15558300","1",7051620,"CAMTA1","chr1","Body","L1ME2z","LINE","L1"
"cg03580787","1",7271353,"CAMTA1","chr1","Body","L1ME2z","LINE","L1"
"cg04359365","1",7278458,"CAMTA1","chr1","Body","L1MC4","LINE","L1"
"cg05022557","1",7364224,"CAMTA1","chr1","Body","L1MB4","LINE","L1"
"cg01721853","1",7783195,"CAMTA1","chr1","Body","L1MC3","LINE","L1"
"cg04683048","1",7783566,"CAMTA1","chr1","Body","L1MC3","LINE","L1"
"cg10413133","1",7803686,"CAMTA1","chr1","Body","L1ME1","LINE","L1"
"cg20149362","1",7834809,"VAMP3","chr1","Body","L1MB5","LINE","L1"
"cg10059324","1",7884824,"PER3","chr1","Body","L1MC4a","LINE","L1"
"cg11668188","1",7891116,"PER3","chr1","Body","L1ME1","LINE","L1"
"cg21999952","1",7891710,"PER3","chr1","Body","L1ME1","LINE","L1"
"cg10930528","1",7991549,"TNFRSF9","chr1","Body","L1ME3B","LINE","L1"
"cg16117781","1",7991159,"TNFRSF9","chr1","Body","L1ME3B","LINE","L1"
"cg09312731","1",8020926,"PARK7","chr1","TSS1500","L1MA4","LINE","L1"
"cg15591616","1",8024678,"PARK7","chr1","Body","L1M5","LINE","L1"
"cg07629900","1",8158130,"RP11-431K24.1","chr1","5'UTR","L1MC1","LINE","L1"
"cg01926406","1",8162549,"RP11-431K24.1","chr1","5'UTR","L1ME1","LINE","L1"
"cg09059223","1",8173932,"RP11-431K24.1","chr1","5'UTR","L1PA11","LINE","L1"
"cg20422467","1",8183253,"","chr1","","L1MC4","LINE","L1"
"cg26487890","1",8402661,"SLC45A1","chr1","Body","L1MB7","LINE","L1"
"cg22128009","1",8458927,"RERE","chr1","5'UTR","L1M5","LINE","L1"
"cg02966020","1",8557042,"RERE","chr1","Body","L1PA8","LINE","L1"
"cg21774136","1",8593495,"RERE","chr1","Body","L1MEd","LINE","L1"
"cg09328789","1",8607931,"RERE","chr1","Body","L1MC4a","LINE","L1"
"cg15467373","1",9053586,"","chr1","","L1MC5","LINE","L1"
"cg13869484","1",9140563,"SLC2A5","chr1","Body","L1MB2","LINE","L1"
"cg09018841","1",9141675,"SLC2A5","chr1","3'UTR","L1MB5","LINE","L1"
"cg09764276","1",9142159,"SLC2A5","chr1","3'UTR","L1MB5","LINE","L1"
"cg04034675","1",9142632,"SCARNA16","chr1","TSS200","L1MB5","LINE","L1"
"cg19863456","1",9186001,"GPR157","chr1","Body","L1M5","LINE","L1"
"cg10108591","1",9190516,"GPR157","chr1","TSS1500","L1MB7","LINE","L1"
"cg11713044","1",9192948,"","chr1","","L1MB7","LINE","L1"
"cg16750082","1",9279730,"","chr1","","L1MB4","LINE","L1"
"cg14312386","1",9344435,"","chr1","","HAL1","LINE","L1"
"cg15700754","1",9481218,"","chr1","","L1MA10","LINE","L1"
"cg07555350","1",9558208,"","chr1","","L1MC1","LINE","L1"
"cg00530905","1",9582655,"","chr1","","L1MB3","LINE","L1"
"cg08711005","1",9596358,"","chr1","","L1ME1","LINE","L1"
"cg03247435","1",9625084,"SLC25A33","chr1","Body","L1MB3","LINE","L1"
"cg16146664","1",9648388,"TMEM201","chr1","TSS1500","L1M5","LINE","L1"
"cg15195816","1",9719533,"PIK3CD","chr1","5'UTR","L1MB3","LINE","L1"
"cg16512854","1",9754132,"PIK3CD","chr1","5'UTR","HAL1","LINE","L1"
"cg20065465","1",9763888,"PIK3CD","chr1","5'UTR","L1ME3A","LINE","L1"
"cg11873211","1",9768980,"PIK3CD","chr1","5'UTR","L1ME3C","LINE","L1"
"cg21341492","1",9836431,"CLSTN1","chr1","Body","L1MB2","LINE","L1"
"cg07589991","1",9847879,"CLSTN1","chr1","Body","L1MB3","LINE","L1"
"cg05750598","1",9889746,"","chr1","","L1MC4a","LINE","L1"
"cg27118196","1",9954275,"CTNNBIP1","chr1","5'UTR","L1MC4","LINE","L1"
"cg14844138","1",9999765,"LZIC","chr1","5'UTR","L1M5","LINE","L1"
"cg14598668","1",10236145,"UBE4B","chr1","Body","L1MB4","LINE","L1"
"cg12614519","1",10266991,"","chr1","","L1ME3C","LINE","L1"
"cg00147627","1",10455147,"","chr1","","L1M4","LINE","L1"
"cg02838736","1",10646233,"PEX14","chr1","Body","L1ME3B","LINE","L1"
"cg26362368","1",10675623,"PEX14","chr1","Body","L1M5","LINE","L1"
"cg04110886","1",10675575,"PEX14","chr1","Body","L1M5","LINE","L1"
"cg16337628","1",10687113,"PEX14","chr1","Body","L1MC5","LINE","L1"
"cg05914005","1",10992446,"","chr1","","L1MB3","LINE","L1"
"cg04224025","1",10992454,"","chr1","","L1MB3","LINE","L1"
"cg25316901","1",11039738,"C1orf127","chr1","Body","L1ME3A","LINE","L1"
"cg23319854","1",11060031,"Y_RNA","chr1","TSS200","HAL1","LINE","L1"
"cg24304050","1",11107870,"MASP2","chr1","TSS1500","HAL1","LINE","L1"
"cg03881436","1",11286164,"MTOR","chr1","Body","L1MEd","LINE","L1"
"cg00104343","1",11286094,"MTOR","chr1","Body","L1MEd","LINE","L1"
"cg22730007","1",11287863,"MTOR","chr1","Body","L1MC4","LINE","L1"
"cg15054536","1",11460990,"","chr1","","L1ME3","LINE","L1"
"cg00921839","1",11467299,"","chr1","","L1MEg","LINE","L1"
"cg07545882","1",11593613,"PTCHD2","chr1","Body","L1MB3","LINE","L1"
"cg24724832","1",11779395,"C1orf187","chr1","Body","L1MC2","LINE","L1"
"cg26437845","1",11779326,"C1orf187","chr1","Body","L1MC2","LINE","L1"
"cg16585235","1",11881684,"CLCN6","chr1","Body","L1ME3E","LINE","L1"
"cg26509738","1",11881797,"CLCN6","chr1","Body","L1ME3E","LINE","L1"
"cg19559840","1",12078321,"MIIP","chr1","TSS1500","L1M5","LINE","L1"
"cg15451361","1",12084802,"MIIP","chr1","Body","L1MB3","LINE","L1"
"cg22521810","1",12181905,"TNFRSF8","chr1","Body","L1ME1","LINE","L1"
"cg04707845","1",12193186,"TNFRSF8","chr1","Body","L1M5","LINE","L1"
"cg21393163","1",12217629,"","chr1","","L1M5","LINE","L1"
"cg02076014","1",12218966,"","chr1","","L1ME3C","LINE","L1"
"cg16549957","1",12218933,"","chr1","","L1ME3C","LINE","L1"
"cg17225737","1",12356301,"VPS13D","chr1","Body","L1ME3F","LINE","L1"
"cg12460920","1",12427158,"VPS13D","chr1","Body","L1MC4","LINE","L1"
"cg15362782","1",12427195,"VPS13D","chr1","Body","L1MC4","LINE","L1"
"cg06325860","1",12592269,"","chr1","","L1MC4a","LINE","L1"
"cg26933021","1",12618574,"","chr1","","L1MB8","LINE","L1"
"cg19760666","1",12618532,"","chr1","","L1MB8","LINE","L1"
"cg19249530","1",12799379,"snoU13","chr1","TSS1500","L1PA17","LINE","L1"
"cg12632398","1",12799238,"snoU13","chr1","TSS1500","L1PA17","LINE","L1"
"cg11752380","1",12799573,"snoU13","chr1","TSS200","L1MB4","LINE","L1"
"cg00766918","1",12804693,"C1orf158","chr1","TSS1500","L1ME3B","LINE","L1"
"cg00214548","1",12804720,"C1orf158","chr1","TSS1500","L1ME3B","LINE","L1"
"cg19411734","1",13877579,"","chr1","","L1MEd","LINE","L1"
"cg07516685","1",13977809,"","chr1","","L1MC4a","LINE","L1"
"cg04145937","1",14504113,"","chr1","","L1MEc","LINE","L1"
"cg04293879","1",14545002,"","chr1","","L1MC5","LINE","L1"
"cg03134235","1",14617823,"","chr1","","L1P2","LINE","L1"
"cg04706087","1",15126781,"KIAA1026","chr1","Body","L1MB7","LINE","L1"
"cg22571902","1",15309893,"KAZN","chr1","Body","L1MC4","LINE","L1"
"cg16070053","1",15359950,"KAZN","chr1","Body","L1MB8","LINE","L1"
"cg20675796","1",15375511,"KIAA1026","chr1","Body","L1MB7","LINE","L1"
"cg05626309","1",15419636,"KIAA1026","chr1","Body","L1MC4a","LINE","L1"
"cg13865360","1",15476258,"C1orf126","chr1","Body","L1ME3C","LINE","L1"
"cg12846303","1",15576880,"FHAD1","chr1","5'UTR","L1ME2z","LINE","L1"
"cg17444808","1",15637814,"FHAD1","chr1","Body","L1MEc","LINE","L1"
"cg07190494","1",15656636,"FHAD1","chr1","Body","L1MC4a","LINE","L1"
"cg10274715","1",15678676,"FHAD1","chr1","Body","L1ME4a","LINE","L1"
"cg14348814","1",15868171,"DNAJC16","chr1","5'UTR","L1ME3A","LINE","L1"
"cg02794125","1",15934653,"U7","chr1","TSS200","L1MB8","LINE","L1"
"cg07182938","1",16038722,"PLEKHM2","chr1","Body","L1MC","LINE","L1"
"cg13365314","1",16183508,"SPEN","chr1","Body","L1MC5","LINE","L1"
"cg07011865","1",16193559,"SPEN","chr1","Body","L1MB7","LINE","L1"
"cg09978047","1",16237311,"SPEN","chr1","Body","L1MC4","LINE","L1"
"cg05703302","1",16279468,"ZBTB17","chr1","5'UTR","L1ME3D","LINE","L1"
"cg05997779","1",16292047,"ZBTB17","chr1","5'UTR","L1ME3F","LINE","L1"
"cg03338185","1",16304821,"","chr1","","L1PB1","LINE","L1"
"cg10458961","1",16448346,"","chr1","","L1MC3","LINE","L1"
"cg05773425","1",16644480,"FBXO42","chr1","5'UTR","L1ME3A","LINE","L1"
"cg02207034","1",16672384,"FBXO42","chr1","5'UTR","L1MC4","LINE","L1"
"cg00694324","1",16764960,"SPATA21","chr1","TSS1500","L1MB4","LINE","L1"
"cg26992009","1",16765301,"SPATA21","chr1","TSS1500","L1MB4","LINE","L1"
"cg01866689","1",16778019,"NECAP2","chr1","Body","L1ME3A","LINE","L1"
"cg23804649","1",16864764,"","chr1","","L1M5","LINE","L1"
"cg12724738","1",16932811,"NBPF1","chr1","5'UTR","L1MC2","LINE","L1"
"cg09936572","1",16932575,"NBPF1","chr1","5'UTR","L1MC2","LINE","L1"
"cg12387865","1",16942481,"","chr1","","L1ME2z","LINE","L1"
"cg02409071","1",17196363,"RP11-108M9.3","chr1","TSS1500","L1M5","LINE","L1"
"cg09631409","1",17196141,"RP11-108M9.3","chr1","TSS1500","L1M5","LINE","L1"
"cg10315945","1",17236551,"CROCC","chr1","5'UTR","L1MEc","LINE","L1"
"cg24791205","1",17261801,"CROCC","chr1","Body","L1MC5","LINE","L1"
"cg26213741","1",17262400,"CROCC","chr1","Body","L1MC5","LINE","L1"
"cg14300442","1",17368398,"SDHB","chr1","Body","L1MEf","LINE","L1"
"cg09301063","1",17399935,"PADI2","chr1","Body","L1MB4","LINE","L1"
"cg13770924","1",17409958,"PADI2","chr1","Body","L1MC4a","LINE","L1"
"cg03102352","1",17409984,"PADI2","chr1","Body","L1MC4a","LINE","L1"
"cg12347471","1",17409975,"PADI2","chr1","Body","L1MC4a","LINE","L1"
"cg10457119","1",17514812,"RP11-380J14.1","chr1","TSS1500","L1ME3","LINE","L1"
"cg18302737","1",17515574,"RP11-380J14.1","chr1","TSS1500","L1ME3","LINE","L1"
"cg25428262","1",17516124,"RP11-380J14.1","chr1","TSS200","L1ME3","LINE","L1"
"cg24538007","1",17558947,"PADI1","chr1","Body","L1M5","LINE","L1"
"cg10710610","1",17619317,"","chr1","","L1ME3D","LINE","L1"
"cg14875662","1",17797208,"","chr1","","L1ME2","LINE","L1"
"cg06769739","1",17802692,"","chr1","","L1MEc","LINE","L1"
"cg11568444","1",17927756,"ARHGEF10L","chr1","Body","L1MD3","LINE","L1"
"cg21524424","1",17953507,"ARHGEF10L","chr1","Body","L1MB3","LINE","L1"
