"ID","CHR","MAPINFO","custom_Name","custom_Group","methylated_allele","tissue_specificity","associated_gene","court","hanna","sanchez_delgado","zink","hamada","note"
"cg01143607","1",40026447,"LOC728448","TSS1500","M","other","PPIEL",TRUE,TRUE,NA,NA,NA,""
"cg11704876","1",40025232,"LOC728448","Body","M","other","PPIEL",TRUE,TRUE,NA,NA,NA,""
"cg15110848","1",40025761,"LOC728448","TSS1500","M","other","PPIEL",TRUE,TRUE,NA,NA,NA,""
"cg11742479","1",40026520,"PABPC4","3'UTR","M","other","PPIEL",TRUE,TRUE,NA,NA,NA,""
"cg22862450","1",40025411,"LOC728448","TSS200","M","other","PPIEL",TRUE,TRUE,NA,NA,NA,""
"cg09165041","1",40025882,"LOC728448","TSS1500","M","other","PPIEL",TRUE,TRUE,NA,NA,NA,""
"cg24813432","1",40026145,"PPIEL","TSS1500","M","other","PPIEL",TRUE,TRUE,NA,NA,NA,""
"cg14611609","1",40026202,"LOC728448","TSS1500","M","other","PPIEL",TRUE,TRUE,NA,NA,NA,""
"cg10243676","1",40024971,"LOC728448","Body","M","other","PPIEL",TRUE,TRUE,NA,NA,NA,""
"cg00782828","1",54940382,"","","M","placental-specific","ACOT11",NA,TRUE,NA,NA,NA,""
"cg08106066","1",54941170,"","","M","placental-specific","ACOT11",NA,TRUE,NA,NA,NA,""
"cg12078320","1",54940533,"","","M","placental-specific","ACOT11",NA,TRUE,NA,NA,NA,""
"cg21156129","1",54941031,"","","M","placental-specific","ACOT11",NA,TRUE,NA,NA,NA,""
"cg19756821","1",54940702,"","","M","placental-specific","ACOT11",NA,TRUE,NA,NA,NA,""
"cg17167852","1",55505189,"PCSK9","TSS200","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg19249107","1",55505954,"PCSK9","Body","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg14977608","1",55506512,"PCSK9","Body","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg25795075","1",55505880,"PCSK9","TSS200","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg14752245","1",55505877,"PCSK9","TSS200","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg17826594","1",55506014,"PCSK9","Body","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg09072162","1",55505180,"PCSK9","TSS200","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg01444643","1",55504848,"PCSK9","TSS1500","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg26047355","1",55504858,"PCSK9","TSS1500","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg08920610","1",55505343,"PCSK9","1stExon","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg25957967","1",55505148,"PCSK9","TSS200","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg25902309","1",55505332,"PCSK9","TSS1500","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg14214659","1",55505089,"PCSK9","TSS1500","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg05118916","1",55505063,"PCSK9","TSS200","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg14993491","1",55504971,"PCSK9","TSS1500","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg13191808","1",55505327,"PCSK9","1stExon","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg26666107","1",55505073,"PCSK9","TSS200","M","placental-specific","PCSK9",NA,TRUE,NA,NA,NA,""
"cg19745415","1",67772986,"IL12RB2","TSS200","M","placental-specific","IL12RB2",NA,TRUE,NA,NA,NA,""
"cg01356829","1",67772896,"IL12RB2","TSS200","M","placental-specific","IL12RB2",NA,TRUE,NA,NA,NA,""
"cg20803547","1",67773440,"IL12RB2","5'UTR","M","placental-specific","IL12RB2",NA,TRUE,NA,NA,NA,""
"cg06952660","1",67773044,"IL12RB2","TSS200","M","placental-specific","IL12RB2",NA,TRUE,NA,NA,NA,""
"cg00318756","1",67773020,"IL12RB2","TSS200","M","placental-specific","IL12RB2",NA,TRUE,NA,NA,NA,""
"cg15991072","1",67773404,"IL12RB2","5'UTR","M","placental-specific","IL12RB2",NA,TRUE,NA,NA,NA,""
"cg27416067","1",67773128,"IL12RB2","5'UTR","M","placental-specific","IL12RB2",NA,TRUE,NA,NA,NA,""
"cg00993824","1",67773175,"IL12RB2","5'UTR","M","placental-specific","IL12RB2",NA,TRUE,NA,NA,NA,""
"cg11242303","1",67773725,"IL12RB2","5'UTR","M","placental-specific","IL12RB2",NA,TRUE,NA,NA,NA,""
"cg04311496","1",67773719,"IL12RB2","5'UTR","M","placental-specific","IL12RB2",NA,TRUE,NA,NA,NA,""
"cg13697378","1",68512845,"DIRAS3","Body","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg20149168","1",68512807,"DIRAS3","Body","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg03641225","1",68512539,"DIRAS3","Body","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg24871743","1",68512650,"DIRAS3","Body","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg22901840","1",68512777,"DIRAS3","Body","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg00448707","1",68512928,"DIRAS3","Body","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg23076194","1",68512251,"DIRAS3","3'UTR","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg09118625","1",68512971,"DIRAS3","Body","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg06648629","1",68511835,"DIRAS3","3'UTR","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg21808053","1",68513063,"DIRAS3","5'UTR","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg13099417","1",68516713,"DIRAS3","TSS1500","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg22500004","1",68516272,"DIRAS3","1stExon","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg12986021","1",68516627,"DIRAS3","TSS200","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg14230016","1",68517436,"DIRAS3","TSS1500","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg14059179","1",68517462,"DIRAS3","TSS1500","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg05949203","1",68516279,"DIRAS3","1stExon","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg13605615","1",68517255,"DIRAS3","TSS1500","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg06191076","1",68516463,"DIRAS3","TSS200","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg01547550","1",68517454,"DIRAS3","TSS1500","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg16148134","1",68517205,"DIRAS3","TSS1500","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg17943391","1",68515872,"DIRAS3","5'UTR","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg19694923","1",68516374,"DIRAS3","1stExon","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg02317907","1",68515788,"DIRAS3","5'UTR","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg10038185","1",68517273,"DIRAS3","TSS1500","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg27545611","1",68517177,"DIRAS3","TSS1500","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg25755905","1",68516138,"DIRAS3","5'UTR","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg19114595","1",68515977,"DIRAS3","5'UTR","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg16682227","1",68516472,"DIRAS3","TSS200","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg05392265","1",68516453,"DIRAS3","1stExon","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg16148270","1",68516465,"DIRAS3","TSS200","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg12070746","1",68516080,"DIRAS3","5'UTR","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg13208159","1",68516518,"DIRAS3","TSS200","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg11465163","1",68516093,"DIRAS3","5'UTR","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg16314899","1",68516101,"DIRAS3","5'UTR","M","other","DIRAS3",TRUE,TRUE,NA,NA,NA,""
"cg21577836","1",175568710,"TNR","5'UTR","M","placental-specific","TNR",NA,TRUE,NA,NA,NA,""
"cg09473826","1",175568216,"TNR","5'UTR","M","placental-specific","TNR",NA,TRUE,NA,NA,NA,""
"cg14430141","1",175568377,"TNR","5'UTR","M","placental-specific","TNR",NA,TRUE,NA,NA,NA,""
"cg24932457","1",175568559,"TNR","5'UTR","M","placental-specific","TNR",NA,TRUE,NA,NA,NA,""
"cg16370586","1",181287636,"","","M","placental-specific","CACNA1E",NA,TRUE,NA,NA,TRUE,""
"cg12059112","1",181287684,"","","M","placental-specific","CACNA1E",NA,TRUE,NA,NA,TRUE,""
"cg15315157","1",181287805,"","","M","placental-specific","CACNA1E",NA,TRUE,NA,NA,TRUE,""
"cg11423323","1",181287803,"","","M","placental-specific","CACNA1E",NA,TRUE,NA,NA,TRUE,""
"cg11824956","1",181286843,"","","M","placental-specific","CACNA1E",NA,TRUE,NA,NA,TRUE,""
"cg22533517","1",181287329,"","","M","placental-specific","CACNA1E",NA,TRUE,NA,NA,TRUE,""
"cg02763800","1",181287301,"","","M","placental-specific","CACNA1E",NA,TRUE,NA,NA,TRUE,""
"cg18593081","1",181286640,"","","M","placental-specific","CACNA1E",NA,TRUE,NA,NA,TRUE,""
"cg19827716","1",181287967,"","","M","placental-specific","CACNA1E",NA,TRUE,NA,NA,TRUE,""
"cg09666230","1",209848402,"G0S2","TSS1500","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg27176828","1",209848550,"G0S2","TSS200","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg10671306","1",209848711,"G0S2","1stExon","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg17710021","1",209848577,"G0S2","TSS200","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg24933191","1",209848479,"G0S2","TSS200","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg06616057","1",209848306,"G0S2","TSS1500","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg08185241","1",209848864,"G0S2","1stExon","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg13460643","1",209848845,"G0S2","1stExon","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg14824901","1",209848535,"G0S2","TSS200","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg26050864","1",209849445,"G0S2","3'UTR","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg19534438","1",209849006,"G0S2","5'UTR","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg09666230","1",209848402,"G0S2","TSS1500","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg27176828","1",209848550,"G0S2","TSS200","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg10671306","1",209848711,"G0S2","1stExon","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg17710021","1",209848577,"G0S2","TSS200","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg24933191","1",209848479,"G0S2","TSS200","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg06616057","1",209848306,"G0S2","TSS1500","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg08185241","1",209848864,"G0S2","1stExon","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg13460643","1",209848845,"G0S2","1stExon","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg14824901","1",209848535,"G0S2","TSS200","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg26050864","1",209849445,"G0S2","3'UTR","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg19534438","1",209849006,"G0S2","5'UTR","M","placental-specific","G0S2",NA,TRUE,NA,NA,TRUE,""
"cg16403299","1",211589678,"C1orf97","Body","M","placental-specific","LINC00467",NA,TRUE,NA,NA,NA,""
"cg10058538","1",211590128,"C1orf97","Body","M","placental-specific","LINC00467",NA,TRUE,NA,NA,NA,""
"cg00510859","2",27486206,"SLC30A3","TSS1500","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg18006626","2",27488188,"SLC30A3","TSS1500","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg11226148","2",27485298,"SLC30A3","Body","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg23151303","2",27486031,"SLC30A3","TSS200","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg24416973","2",27486886,"SLC30A3","TSS1500","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg18470680","2",27485035,"SLC30A3","Body","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg19461344","2",27485922,"SLC30A3","1stExon","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg04412116","2",27488313,"SLC30A3","TSS1500","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg06720879","2",27486316,"SLC30A3","TSS1500","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg08789022","2",27484942,"SLC30A3","Body","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg03023068","2",27486122,"SLC30A3","TSS200","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg18219563","2",27487458,"SLC30A3","TSS1500","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg13174651","2",27485967,"SLC30A3","TSS200","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg13875111","2",27487130,"SLC30A3","TSS1500","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg10629682","2",27486061,"SLC30A3","TSS200","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg01706819","2",27487792,"SLC30A3","TSS1500","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg01878321","2",27486133,"SLC30A3","TSS200","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg02915746","2",27486460,"SLC30A3","TSS1500","M","placental-specific","SLC30A3",NA,TRUE,NA,NA,TRUE,""
"cg09320971","2",42068068,"","","M","placental-specific","C2orf91",NA,TRUE,NA,NA,TRUE,""
"cg24742832","2",42068527,"","","M","placental-specific","C2orf91",NA,TRUE,NA,NA,TRUE,""
"cg19324633","2",42068516,"","","M","placental-specific","C2orf91",NA,TRUE,NA,NA,TRUE,""
"cg06226256","2",42068648,"","","M","placental-specific","C2orf91",NA,TRUE,NA,NA,TRUE,""
"cg08625556","2",42068380,"","","M","placental-specific","C2orf91",NA,TRUE,NA,NA,TRUE,""
"cg18499001","2",42068506,"","","M","placental-specific","C2orf91",NA,TRUE,NA,NA,TRUE,""
"cg03969316","2",42067938,"","","M","placental-specific","C2orf91",NA,TRUE,NA,NA,TRUE,""
"cg09012708","2",42068177,"","","M","placental-specific","C2orf91",NA,TRUE,NA,NA,TRUE,""
"cg09091690","2",42068202,"","","M","placental-specific","C2orf91",NA,TRUE,NA,NA,TRUE,""
"cg21875802","2",45231382,"","","M","placental-specific","SIX2",NA,TRUE,NA,NA,NA,""
"cg06007282","2",45231467,"","","M","placental-specific","SIX2",NA,TRUE,NA,NA,NA,""
"cg02893453","2",45232888,"SIX2","3'UTR","M","placental-specific","SIX2",NA,TRUE,NA,NA,NA,""
"cg12109291","2",45232117,"","","M","placental-specific","SIX2",NA,TRUE,NA,NA,NA,""
"cg13261971","2",45231226,"","","M","placental-specific","SIX2",NA,TRUE,NA,NA,NA,""
"cg00366850","2",45232417,"SIX2","3'UTR","M","placental-specific","SIX2",NA,TRUE,NA,NA,NA,""
"cg04362586","2",45231782,"","","M","placental-specific","SIX2",NA,TRUE,NA,NA,NA,""
"cg05514256","2",45231891,"","","M","placental-specific","SIX2",NA,TRUE,NA,NA,NA,""
"cg07365623","2",46656259,"AC018682.6","TSS200","M","placental-specific","TMEM247",NA,NA,TRUE,NA,TRUE,""
"cg14414670","2",46657122,"LOC101805491","Body","M","placental-specific","TMEM247",NA,NA,TRUE,NA,TRUE,""
"cg19162047","2",46655935,"LOC101805491","TSS1500","M","placental-specific","TMEM247",NA,NA,TRUE,NA,TRUE,""
"cg21330565","2",46656157,"AC018682.6","TSS200","M","placental-specific","TMEM247",NA,NA,TRUE,NA,TRUE,""
"cg17835106","2",46657384,"LOC101805491","Body","M","placental-specific","TMEM247",NA,NA,TRUE,NA,TRUE,""
"cg04883572","2",46655953,"LOC101805491","TSS1500","M","placental-specific","TMEM247",NA,NA,TRUE,NA,TRUE,""
"cg19454930","2",74347776,"","","M","placental-specific","TET3",NA,NA,TRUE,NA,TRUE,""
"cg03400443","2",74347616,"","","M","placental-specific","TET3",NA,NA,TRUE,NA,TRUE,""
"cg07805383","2",74346210,"","","M","placental-specific","TET3",NA,NA,TRUE,NA,TRUE,""
"cg20011983","2",74347215,"","","M","placental-specific","TET3",NA,NA,TRUE,NA,TRUE,""
"cg20260610","2",74347274,"","","M","placental-specific","TET3",NA,NA,TRUE,NA,TRUE,""
"cg02740696","2",74348255,"","","M","placental-specific","TET3",NA,NA,TRUE,NA,TRUE,""
"cg23963153","2",196933266,"DNAH7","Body","M","placental-specific","DNAH7",NA,TRUE,NA,NA,NA,""
"cg00369640","2",196933685,"DNAH7","TSS200","M","placental-specific","DNAH7",NA,TRUE,NA,NA,NA,""
"cg03469482","2",196933575,"DNAH7","TSS200","M","placental-specific","DNAH7",NA,TRUE,NA,NA,NA,""
"cg04103993","2",196934154,"DNAH7","TSS1500","M","placental-specific","DNAH7",NA,TRUE,NA,NA,NA,""
"cg03888814","2",196933901,"DNAH7","TSS1500","M","placental-specific","DNAH7",NA,TRUE,NA,NA,NA,""
"cg18527435","2",196933656,"DNAH7","TSS200","M","placental-specific","DNAH7",NA,TRUE,NA,NA,NA,""
"cg08122351","2",196933546,"DNAH7","TSS200","M","placental-specific","DNAH7",NA,TRUE,NA,NA,NA,""
"cg13045813","2",196933518,"DNAH7","5'UTR","M","placental-specific","DNAH7",NA,TRUE,NA,NA,NA,""
"cg19374305","2",196933852,"DNAH7","TSS1500","M","placental-specific","DNAH7",NA,TRUE,NA,NA,NA,""
"cg19655195","2",196933718,"DNAH7","TSS200","M","placental-specific","DNAH7",NA,TRUE,NA,NA,NA,""
"cg06043640","2",196933313,"DNAH7","Body","M","placental-specific","DNAH7",NA,TRUE,NA,NA,NA,""
"cg16593556","2",196933654,"DNAH7","TSS200","M","placental-specific","DNAH7",NA,TRUE,NA,NA,NA,""
"cg00889363","2",206255841,"PARD3B","Body","P","other","ZDBF2",NA,NA,NA,TRUE,NA,""
"cg01284698","2",206260068,"PARD3B","Body","P","other","ZDBF2",NA,NA,NA,TRUE,NA,""
"cg05477511","2",206270377,"PARD3B","Body","P","other","ZDBF2",NA,NA,NA,TRUE,NA,""
"cg13443116","2",207068409,"GPR1","5'UTR","M","placental-specific","GPR1-AS",TRUE,TRUE,NA,NA,NA,""
"cg23239484","2",207068317,"GPR1","5'UTR","M","placental-specific","GPR1-AS",TRUE,TRUE,NA,NA,NA,""
"cg19696983","2",207068254,"GPR1","5'UTR","M","placental-specific","GPR1-AS",TRUE,TRUE,NA,NA,NA,""
"cg04918871","2",207125465,"GPR1-AS","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg03141680","2",207125606,"GPR1-AS","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg15093040","2",207125019,"GPR1-AS","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg20471298","2",207118253,"","","P","other","",TRUE,NA,NA,NA,NA,""
"cg25535070","2",207116070,"","","P","other","",TRUE,NA,NA,NA,NA,""
"cg09448460","2",207129158,"","","P","other","",TRUE,NA,NA,NA,NA,""
"cg20752628","2",207114780,"GPR1-AS","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg04359324","2",207116401,"","","P","other","",TRUE,NA,NA,NA,NA,""
"cg22719723","2",207114924,"GPR1-AS","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg16353127","2",207125268,"GPR1-AS","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg19366042","2",207127364,"","","P","other","",TRUE,NA,NA,NA,NA,""
"cg03428109","2",207118288,"","","P","other","",TRUE,NA,NA,NA,NA,""
"cg17133012","2",207125060,"GPR1-AS","Body","P","other","",TRUE,NA,NA,NA,NA,""
"cg25307915","2",207127226,"","","P","other","",TRUE,NA,NA,NA,NA,""
"cg10583266","2",207136184,"","","P","other","",TRUE,NA,NA,NA,NA,""
"cg04072323","2",229046325,"SPHKAP","1stExon","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg22190437","2",229045417,"SPHKAP","Body","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg24333629","2",229045958,"SPHKAP","Body","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg06092815","2",229046406,"SPHKAP","TSS200","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg19168659","2",229046447,"SPHKAP","TSS200","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg10959353","2",229046515,"SPHKAP","TSS200","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg12525474","2",229046029,"SPHKAP","Body","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg23163333","2",229046408,"SPHKAP","TSS200","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg19269666","2",229046590,"SPHKAP","TSS1500","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg00423153","2",229046785,"SPHKAP","TSS1500","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg01820539","2",229045122,"SPHKAP","Body","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg07578826","2",229046410,"SPHKAP","TSS200","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg12001304","2",229045020,"SPHKAP","Body","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg09848434","2",229047007,"SPHKAP","TSS1500","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
"cg04072323","2",229046325,"SPHKAP","1stExon","M","placental-specific","SPHKAP",NA,TRUE,TRUE,NA,TRUE,""
