"ID","CHR","MAPINFO","custom_Name","chr","custom_Group","repName","repClass","repFamily"
"cg14239612","1",8135638,"RP11-431K24.1","chr1","5'UTR","AluSx","SINE","Alu"
"cg16060382","1",8278295,"RP11-431K24.4","chr1","3'UTR","AluYa5","SINE","Alu"
"cg06622404","1",8388620,"SLC45A1","chr1","Body","AluSq","SINE","Alu"
"cg21381136","1",8445818,"RERE","chr1","5'UTR","AluY","SINE","Alu"
"cg11016910","1",8517952,"RERE","chr1","Body","AluSz","SINE","Alu"
"cg08548328","1",8556003,"RERE","chr1","Body","AluJr","SINE","Alu"
"cg04686571","1",8591268,"RERE","chr1","Body","AluSz","SINE","Alu"
"cg13446918","1",8599482,"RERE","chr1","Body","AluSg","SINE","Alu"
"cg13355613","1",8717143,"RERE","chr1","5'UTR","AluY","SINE","Alu"
"cg02699383","1",8717127,"RERE","chr1","5'UTR","AluY","SINE","Alu"
"cg15847431","1",8717778,"RERE","chr1","5'UTR","AluSx","SINE","Alu"
"cg23280294","1",8722464,"RERE","chr1","5'UTR","AluJr4","SINE","Alu"
"cg20325800","1",8787360,"RERE","chr1","5'UTR","AluSx","SINE","Alu"
"cg14043482","1",8836505,"RERE","chr1","5'UTR","AluSz6","SINE","Alu"
"cg12617549","1",8919565,"","chr1","","AluJb","SINE","Alu"
"cg25849281","1",8937077,"ENO1","chr1","5'UTR","AluY","SINE","Alu"
"cg23267872","1",8937087,"ENO1","chr1","5'UTR","AluY","SINE","Alu"
"cg06972019","1",8937448,"ENO1","chr1","5'UTR","AluSx","SINE","Alu"
"cg13432294","1",8937640,"ENO1","chr1","5'UTR","AluSp","SINE","Alu"
"cg24497868","1",8952824,"HMGN2P17","chr1","TSS1500","AluSx","SINE","Alu"
"cg23187094","1",8963311,"","chr1","","AluSz","SINE","Alu"
"cg06645166","1",8970263,"","chr1","","AluSx","SINE","Alu"
"cg08146717","1",8975200,"","chr1","","AluSx3","SINE","Alu"
"cg01911777","1",8978845,"","chr1","","AluJr","SINE","Alu"
"cg00648005","1",9086914,"SLC2A7","chr1","TSS1500","AluSx","SINE","Alu"
"cg03850198","1",9090070,"","chr1","","AluJb","SINE","Alu"
"cg25726682","1",9110021,"SLC2A5","chr1","Body","AluJb","SINE","Alu"
"cg05546024","1",9109937,"SLC2A5","chr1","Body","AluJb","SINE","Alu"
"cg27307527","1",9148579,"SLC2A5","chr1","TSS200","AluSc8","SINE","Alu"
"cg16552153","1",9244565,"RP3-510D11.1","chr1","3'UTR","AluSq2","SINE","Alu"
"cg14200357","1",9246020,"RP3-510D11.1","chr1","3'UTR","AluSx1","SINE","Alu"
"cg08978852","1",9254129,"RP3-510D11.1","chr1","3'UTR","AluJb","SINE","Alu"
"cg20305595","1",9293833,"H6PD","chr1","TSS1500","AluJb","SINE","Alu"
"cg10526795","1",9326989,"H6PD","chr1","3'UTR","AluSx1","SINE","Alu"
"cg23914842","1",9327170,"H6PD","chr1","3'UTR","AluSx1","SINE","Alu"
"cg23008453","1",9445612,"","chr1","","AluSz6","SINE","Alu"
"cg03487019","1",9479540,"","chr1","","AluSx","SINE","Alu"
"cg10938178","1",9564395,"RP13-392I16.1","chr1","TSS1500","AluSz","SINE","Alu"
"cg18783781","1",9599067,"SLC25A33","chr1","TSS1500","AluSx","SINE","Alu"
"cg11826452","1",9599026,"SLC25A33","chr1","TSS1500","AluSx","SINE","Alu"
"cg13557160","1",9598983,"SLC25A33","chr1","TSS1500","AluSx","SINE","Alu"
"cg26114570","1",9648299,"TMEM201","chr1","TSS1500","AluY","SINE","Alu"
"cg02252265","1",9648038,"TMEM201","chr1","TSS1500","AluY","SINE","Alu"
"cg21643298","1",9683340,"","chr1","","AluYa5","SINE","Alu"
"cg16597045","1",9714845,"C1orf200","chr1","TSS1500","AluSz","SINE","Alu"
"cg14989202","1",9714843,"C1orf200","chr1","TSS200","AluSz","SINE","Alu"
"cg22595920","1",9716050,"C1orf200","chr1","TSS1500","AluSx","SINE","Alu"
"cg11334709","1",9716019,"C1orf200","chr1","TSS1500","AluSx","SINE","Alu"
"cg07315642","1",9731272,"PIK3CD","chr1","5'UTR","AluJb","SINE","Alu"
"cg17600065","1",9745829,"PIK3CD-AS2","chr1","Body","FAM","SINE","Alu"
"cg20546648","1",9764863,"PIK3CD","chr1","5'UTR","AluJb","SINE","Alu"
"cg05605414","1",9769397,"PIK3CD","chr1","5'UTR","AluSq","SINE","Alu"
"cg05534225","1",9769677,"PIK3CD","chr1","5'UTR","AluJr4","SINE","Alu"
"cg00996875","1",9825174,"CLSTN1","chr1","Body","AluSp","SINE","Alu"
"cg00533749","1",9992130,"LZIC","chr1","Body","AluSq","SINE","Alu"
"cg03707374","1",9992275,"LZIC","chr1","Body","AluSq","SINE","Alu"
"cg03314084","1",9996914,"LZIC","chr1","5'UTR","AluSc8","SINE","Alu"
"cg12009809","1",10007284,"NMNAT1","chr1","5'UTR","AluJr","SINE","Alu"
"cg04416237","1",10051507,"","chr1","","AluSz","SINE","Alu"
"cg07224455","1",10058340,"RBP7","chr1","Body","AluSx","SINE","Alu"
"cg12454461","1",10078972,"","chr1","","AluSc","SINE","Alu"
"cg09355820","1",10092237,"UBE4B","chr1","TSS1500","AluY","SINE","Alu"
"cg07519070","1",10223155,"UBE4B","chr1","Body","AluJo","SINE","Alu"
"cg26655236","1",10245710,"","chr1","","FRAM","SINE","Alu"
"cg25542772","1",10273965,"KIF1B","chr1","5'UTR","AluJr4","SINE","Alu"
"cg06376619","1",10290211,"KIF1B","chr1","5'UTR","AluJr","SINE","Alu"
"cg09513023","1",10290787,"KIF1B","chr1","5'UTR","AluSz","SINE","Alu"
"cg21280745","1",10290773,"KIF1B","chr1","5'UTR","AluSz","SINE","Alu"
"cg27266396","1",10290789,"KIF1B","chr1","5'UTR","AluSz","SINE","Alu"
"cg04507312","1",10358941,"RNU6-2","chr1","TSS200","AluYk11","SINE","Alu"
"cg19183454","1",10358951,"RNU6-2","chr1","TSS200","AluYk11","SINE","Alu"
"cg17332071","1",10358939,"RNU6-2","chr1","TSS200","AluYk11","SINE","Alu"
"cg25013184","1",10487953,"","chr1","","AluSp","SINE","Alu"
"cg07166784","1",10508703,"APITD1","chr1","Body","AluSc8","SINE","Alu"
"cg00162421","1",10508962,"APITD1","chr1","Body","AluSc8","SINE","Alu"
"cg08846221","1",10541698,"PEX14","chr1","Body","AluJr","SINE","Alu"
"cg20681985","1",10705313,"CASZ1","chr1","Body","AluY","SINE","Alu"
"cg15063715","1",10857436,"CASZ1","chr1","TSS1500","FLAM_C","SINE","Alu"
"cg27121379","1",11022902,"C1orf127","chr1","Body","AluJr","SINE","Alu"
"cg22499381","1",11024967,"C1orf127","chr1","TSS1500","AluSz6","SINE","Alu"
"cg24412659","1",11042602,"C1orf127","chr1","TSS1500","AluJr","SINE","Alu"
"cg15387278","1",11042825,"C1orf127","chr1","TSS1500","AluSq2","SINE","Alu"
"cg18163627","1",11071588,"TARDBP","chr1","TSS1500","AluSz6","SINE","Alu"
"cg24257725","1",11072021,"TARDBP","chr1","TSS1500","AluSx3","SINE","Alu"
"cg23867209","1",11107781,"MASP2","chr1","TSS1500","AluSx","SINE","Alu"
"cg13432010","1",11107886,"MASP2","chr1","TSS1500","AluSg","SINE","Alu"
"cg08529574","1",11133250,"EXOSC10","chr1","Body","AluSc8","SINE","Alu"
"cg18734783","1",11133230,"EXOSC10","chr1","Body","AluSc8","SINE","Alu"
"cg22059903","1",11133228,"EXOSC10","chr1","Body","AluSc8","SINE","Alu"
"cg05192036","1",11133672,"EXOSC10","chr1","Body","AluSx1","SINE","Alu"
"cg22238338","1",11156882,"EXOSC10","chr1","Body","AluSx","SINE","Alu"
"cg22969829","1",11160243,"EXOSC10","chr1","TSS1500","FLAM_A","SINE","Alu"
"cg16520348","1",11199787,"MTOR","chr1","Body","AluSg7","SINE","Alu"
"cg10315903","1",11323253,"MTOR","chr1","TSS1500","AluSx","SINE","Alu"
"cg11858029","1",11324407,"","chr1","","AluJr4","SINE","Alu"
"cg24556854","1",11337767,"UBIAD1","chr1","Body","AluSp","SINE","Alu"
"ch.1.422303F","1",11358290,"","chr1","","AluSq","SINE","Alu"
"cg07138192","1",11405945,"","chr1","","AluSz6","SINE","Alu"
"cg07545882","1",11593613,"PTCHD2","chr1","Body","AluSx","SINE","Alu"
"cg27095650","1",11593605,"PTCHD2","chr1","Body","AluSx","SINE","Alu"
"cg02969079","1",11675673,"","chr1","","AluJb","SINE","Alu"
"cg06084702","1",11746751,"MAD2L2","chr1","5'UTR","AluSz","SINE","Alu"
"cg18276943","1",11853610,"MTHFR","chr1","Body","AluJb","SINE","Alu"
"cg21666413","1",11861708,"MTHFR","chr1","Body","AluSx1","SINE","Alu"
"cg09619883","1",11975482,"","chr1","","AluJb","SINE","Alu"
"cg07603449","1",11986842,"KIAA2013","chr1","TSS1500","AluSg","SINE","Alu"
"cg10438121","1",11991667,"","chr1","","AluJo","SINE","Alu"
"cg25350821","1",12008529,"PLOD1","chr1","Body","AluSx","SINE","Alu"
"cg14089603","1",12036373,"","chr1","","AluSx","SINE","Alu"
"cg06967016","1",12039049,"MFN2","chr1","TSS1500","AluJr","SINE","Alu"
"cg15145618","1",12084747,"MIIP","chr1","Body","AluSq2","SINE","Alu"
"cg05036439","1",12125202,"TNFRSF8","chr1","Body","AluSq2","SINE","Alu"
"cg09156598","1",12192620,"TNFRSF8","chr1","Body","AluSx","SINE","Alu"
"cg09081517","1",12226353,"TNFRSF1B","chr1","TSS1500","AluJr","SINE","Alu"
"cg13386839","1",12250343,"TNFRSF1B","chr1","Body","AluSx1","SINE","Alu"
"cg11665613","1",12268883,"TNFRSF1B","chr1","3'UTR","FRAM","SINE","Alu"
"cg06026592","1",12427719,"VPS13D","chr1","Body","AluY","SINE","Alu"
"cg24202045","1",12427721,"VPS13D","chr1","Body","AluY","SINE","Alu"
"cg20803931","1",12497013,"VPS13D","chr1","Body","AluSp","SINE","Alu"
"cg17985555","1",12681145,"","chr1","","AluSx","SINE","Alu"
"cg24367741","1",12883887,"RP5-845O24.8","chr1","TSS1500","AluJo","SINE","Alu"
"cg01614203","1",12884256,"RP5-845O24.8","chr1","TSS1500","AluSq2","SINE","Alu"
"cg04488453","1",12889600,"PRAMEF11","chr1","5'UTR","AluSc8","SINE","Alu"
"cg00295060","1",12894699,"","chr1","","AluSc8","SINE","Alu"
"cg18888234","1",12916036,"PRAMEF2","chr1","TSS1500","AluSz","SINE","Alu"
"cg04666976","1",12916059,"PRAMEF2","chr1","TSS1500","AluSz","SINE","Alu"
"cg26811976","1",12944986,"PRAMEF4","chr1","5'UTR","AluSx3","SINE","Alu"
"cg21942701","1",12946434,"PRAMEF4","chr1","TSS1500","AluSx1","SINE","Alu"
"cg24274354","1",13034580,"PRAMEF22","chr1","TSS1500","AluJb","SINE","Alu"
"cg18869304","1",13038611,"LOC391003","chr1","3'UTR","AluJb","SINE","Alu"
"cg23084506","1",13111908,"PRAMEF5","chr1","Body","AluSx1","SINE","Alu"
"cg21368526","1",13145664,"RP13-221M14.2","chr1","TSS1500","AluSp","SINE","Alu"
"cg23964231","1",13184794,"HNRNPCL2","chr1","TSS1500","AluSx1","SINE","Alu"
"cg21410132","1",13737267,"PRAMEF20","chr1","5'UTR","AluJb","SINE","Alu"
"cg15667219","1",13737234,"PRAMEF20","chr1","5'UTR","AluJb","SINE","Alu"
"cg02911408","1",13809010,"","chr1","","AluSx","SINE","Alu"
"cg26341058","1",13881331,"","chr1","","AluSx3","SINE","Alu"
"cg21158795","1",13941015,"PDPN","chr1","Body","AluJo","SINE","Alu"
"cg19324313","1",14032204,"PRDM2","chr1","5'UTR","AluSg","SINE","Alu"
"cg07552723","1",14092249,"PRDM2","chr1","Body","AluSg","SINE","Alu"
"cg17873638","1",14855017,"","chr1","","AluJo","SINE","Alu"
"cg03770523","1",15364622,"KIAA1026","chr1","Body","AluJb","SINE","Alu"
"cg10912626","1",15515843,"TMEM51","chr1","5'UTR","AluSx1","SINE","Alu"
"cg06124883","1",15525193,"TMEM51","chr1","5'UTR","AluSx1","SINE","Alu"
"cg15762106","1",15558548,"","chr1","","AluSz","SINE","Alu"
"cg17944001","1",15610717,"FHAD1","chr1","Body","AluY","SINE","Alu"
"cg11395890","1",15712019,"FHAD1","chr1","Body","AluJo","SINE","Alu"
"cg08107352","1",15763967,"CTRC","chr1","TSS1500","AluJo","SINE","Alu"
"cg00681001","1",15782575,"CELA2A","chr1","TSS1500","AluSz","SINE","Alu"
"cg07437198","1",15791795,"CELA2A","chr1","Body","AluSz","SINE","Alu"
"cg19505194","1",15801943,"CELA2B","chr1","TSS1500","AluSz","SINE","Alu"
"cg15568998","1",15899377,"AGMAT","chr1","3'UTR","AluSx","SINE","Alu"
"cg00894481","1",15912201,"AGMAT","chr1","TSS1500","FRAM","SINE","Alu"
"cg05141711","1",15912213,"AGMAT","chr1","TSS1500","FRAM","SINE","Alu"
"cg05588330","1",15912834,"AGMAT","chr1","TSS1500","AluY","SINE","Alu"
"cg07574854","1",15920923,"RP4-680D5.2","chr1","3'UTR","AluSx3","SINE","Alu"
"cg03042802","1",15984979,"RSC1A1","chr1","TSS1500","AluSp","SINE","Alu"
"cg24397692","1",16015471,"PLEKHM2","chr1","Body","AluSp","SINE","Alu"
"cg21110997","1",16032324,"PLEKHM2","chr1","Body","AluJb","SINE","Alu"
"cg01472471","1",16036446,"PLEKHM2","chr1","Body","AluY","SINE","Alu"
"cg18412185","1",16130102,"","chr1","","AluJo","SINE","Alu"
"cg11650974","1",16134399,"UQCRHL","chr1","TSS1500","AluJb","SINE","Alu"
"cg21570493","1",16157388,"","chr1","","AluSx3","SINE","Alu"
"cg05427056","1",16196239,"MIR5096","chr1","TSS1500","AluJb","SINE","Alu"
"cg26058971","1",16251246,"SPEN","chr1","Body","AluSp","SINE","Alu"
"cg17445557","1",16303859,"ZBTB17","chr1","TSS1500","FLAM_A","SINE","Alu"
"cg23065487","1",16330139,"C1orf64","chr1","TSS1500","AluY","SINE","Alu"
"cg06624244","1",16332335,"C1orf64","chr1","Body","AluJb","SINE","Alu"
"cg20780319","1",16334220,"RP11-5P18.5","chr1","TSS1500","AluJr","SINE","Alu"
"cg13358262","1",16374167,"CLCNKB","chr1","TSS1500","AluJr","SINE","Alu"
"cg08869231","1",16413360,"","chr1","","AluSq","SINE","Alu"
"cg15152789","1",16448161,"","chr1","","AluSz","SINE","Alu"
"cg19418009","1",16564689,"RSG1","chr1","TSS1500","AluJb","SINE","Alu"
"cg15386069","1",16567046,"","chr1","","AluJb","SINE","Alu"
"cg04685158","1",16598359,"FBXO42","chr1","Body","AluSx","SINE","Alu"
"cg02671063","1",16681459,"C1orf144","chr1","5'UTR","AluJo","SINE","Alu"
"cg09234164","1",16689696,"C1orf144","chr1","5'UTR","AluSc","SINE","Alu"
"cg10308193","1",16693079,"C1orf144","chr1","TSS1500","AluSx","SINE","Alu"
"ch.1.572291F","1",16715418,"C1orf144","chr1","Body","AluSz","SINE","Alu"
"cg02471243","1",16731298,"SPATA21","chr1","Body","AluJb","SINE","Alu"
"cg24695441","1",16751686,"SPATA21","chr1","Body","AluSq2","SINE","Alu"
"cg17420395","1",16762998,"SPATA21","chr1","5'UTR","AluSz","SINE","Alu"
"cg01702724","1",16764680,"SPATA21","chr1","TSS1500","AluJr","SINE","Alu"
"cg13864749","1",16766618,"NECAP2","chr1","TSS1500","AluSx","SINE","Alu"
"cg12765138","1",16812458,"CROCCL2","chr1","Body","AluSx","SINE","Alu"
"cg08715988","1",16829179,"","chr1","","AluSg7","SINE","Alu"
"cg06538888","1",16839385,"","chr1","","AluSx","SINE","Alu"
"cg27568983","1",16859800,"RP4-798A10.5","chr1","3'UTR","AluSz","SINE","Alu"
"cg06649681","1",16875577,"","chr1","","AluSx3","SINE","Alu"
"cg26022684","1",16904881,"NBPF1","chr1","Body","AluSg","SINE","Alu"
"cg27302863","1",17075306,"","chr1","","AluJb","SINE","Alu"
"cg24723044","1",17247530,"CROCC","chr1","TSS1500","AluSq2","SINE","Alu"
"cg25159113","1",17263055,"CROCC","chr1","Body","AluSx3","SINE","Alu"
"cg00053536","1",17291209,"CROCC","chr1","Body","AluSx","SINE","Alu"
"cg03394122","1",17307678,"MFAP2","chr1","TSS1500","FLAM_C","SINE","Alu"
"cg08637004","1",17309406,"MFAP2","chr1","TSS1500","AluSx1","SINE","Alu"
"cg19934703","1",17332367,"ATP13A2","chr1","Body","AluSx","SINE","Alu"
"cg20822990","1",17338766,"ATP13A2","chr1","TSS1500","AluSp","SINE","Alu"
"cg17851440","1",17344137,"","chr1","","FAM","SINE","Alu"
"cg07233838","1",17472852,"","chr1","","AluSc","SINE","Alu"
"cg02739641","1",17483419,"Y_RNA","chr1","TSS1500","AluSc","SINE","Alu"
"cg15115648","1",17516023,"RP11-380J14.1","chr1","TSS1500","AluSx","SINE","Alu"
"cg16662255","1",17564816,"PADI1","chr1","Body","AluSx","SINE","Alu"
"cg08464855","1",17574559,"PADI3","chr1","TSS1500","AluY","SINE","Alu"
"cg13879177","1",17697962,"PADI6","chr1","TSS1500","AluJb","SINE","Alu"
"cg00298399","1",17697934,"PADI6","chr1","TSS1500","AluJb","SINE","Alu"
"cg12336009","1",17697922,"PADI6","chr1","TSS1500","AluJb","SINE","Alu"
"cg09777172","1",17761334,"RCC2","chr1","Body","AluSg","SINE","Alu"
"cg03381734","1",17799870,"","chr1","","AluSx1","SINE","Alu"
"cg06182284","1",17814667,"","chr1","","AluSp","SINE","Alu"
"cg20940024","1",17815386,"","chr1","","AluSx1","SINE","Alu"
"cg27525520","1",17818735,"","chr1","","AluSx","SINE","Alu"
"cg07843463","1",17856397,"","chr1","","AluSq","SINE","Alu"
"cg10640049","1",17862912,"","chr1","","AluJb","SINE","Alu"
"cg09674998","1",17870432,"ARHGEF10L","chr1","5'UTR","AluSx1","SINE","Alu"
"cg06968102","1",17879065,"ARHGEF10L","chr1","5'UTR","AluSz","SINE","Alu"
"cg17547722","1",18042841,"RP11-473A10.2","chr1","TSS1500","AluJr","SINE","Alu"
